proc0,44,12,34,false
proc1,13,51,49,false
proc2,36,34,23,true
proc3,51,43,21,false
proc4,35,47,57,false
proc5,1,13,20,false
proc6,57,18,26,false
proc7,19,48,18,false
proc8,27,47,2,false
proc9,58,11,50,true
proc10,45,23,5,true
proc11,55,18,35,true
proc12,17,45,57,false
proc13,4,44,21,false
proc14,50,2,26,false
proc15,6,28,11,true
proc16,58,51,32,false
proc17,7,36,6,true
proc18,16,59,5,false
proc19,17,35,33,false
proc20,30,55,7,false
proc21,18,21,10,false
proc22,36,32,60,true
proc23,52,51,32,false
proc24,16,36,59,true
proc25,3,47,45,false
proc26,5,33,36,false
proc27,58,2,8,true
proc28,41,35,51,false
proc29,28,38,23,true
proc30,47,51,7,true
proc31,34,21,25,false
proc32,24,1,39,false
proc33,23,5,2,true
proc34,55,49,46,false
proc35,44,1,51,true
proc36,38,27,55,false
proc37,12,40,58,false
proc38,14,60,49,false
proc39,49,38,46,true
proc40,32,36,14,false
proc41,27,57,40,true
proc42,20,23,20,false
proc43,3,3,46,false
proc44,33,3,41,false
proc45,44,49,22,false
proc46,58,20,57,true
proc47,46,8,42,false
proc48,60,9,4,false
proc49,38,33,4,false
